school,year,bachelors
WEINBERG ARTS AND SCIENCES,2012-13,1045
WEINBERG ARTS AND SCIENCES,2013-14,1074
WEINBERG ARTS AND SCIENCES,2014-15,1019
WEINBERG ARTS AND SCIENCES,2015-16,975
WEINBERG ARTS AND SCIENCES,2016-17,926
WEINBERG ARTS AND SCIENCES,2017-18,989
WEINBERG ARTS AND SCIENCES,2018-19,978
WEINBERG ARTS AND SCIENCES,2019-20,931
WEINBERG ARTS AND SCIENCES,2020-21,948
WEINBERG ARTS AND SCIENCES,2021-22,933
COMMUNICATION,2012-13,335
COMMUNICATION,2013-14,275
COMMUNICATION,2014-15,339
COMMUNICATION,2015-16,310
COMMUNICATION,2016-17,309
COMMUNICATION,2017-18,302
COMMUNICATION,2018-19,288
COMMUNICATION,2019-20,312
COMMUNICATION,2020-21,298
COMMUNICATION,2021-22,266
CONTINUING STUDIES,2012-13,86
CONTINUING STUDIES,2013-14,79
CONTINUING STUDIES,2014-15,66
CONTINUING STUDIES,2015-16,66
CONTINUING STUDIES,2016-17,67
CONTINUING STUDIES,2017-18,46
CONTINUING STUDIES,2018-19,33
CONTINUING STUDIES,2019-20,59
CONTINUING STUDIES,2020-21,48
CONTINUING STUDIES,2021-22,44
EDUCATION AND SOCIAL POLICY,2012-13,125
EDUCATION AND SOCIAL POLICY,2013-14,147
EDUCATION AND SOCIAL POLICY,2014-15,130
EDUCATION AND SOCIAL POLICY,2015-16,137
EDUCATION AND SOCIAL POLICY,2016-17,144
EDUCATION AND SOCIAL POLICY,2017-18,106
EDUCATION AND SOCIAL POLICY,2018-19,152
EDUCATION AND SOCIAL POLICY,2019-20,191
EDUCATION AND SOCIAL POLICY,2020-21,156
EDUCATION AND SOCIAL POLICY,2021-22,152
MCCORMICK ENGINEERING,2012-13,355
MCCORMICK ENGINEERING,2013-14,383
MCCORMICK ENGINEERING,2014-15,396
MCCORMICK ENGINEERING,2015-16,406
MCCORMICK ENGINEERING,2016-17,449
MCCORMICK ENGINEERING,2017-18,445
MCCORMICK ENGINEERING,2018-19,472
MCCORMICK ENGINEERING,2019-20,471
MCCORMICK ENGINEERING,2020-21,434
MCCORMICK ENGINEERING,2021-22,413
MEDILL JOURNALISM,2012-13,168
MEDILL JOURNALISM,2013-14,178
MEDILL JOURNALISM,2014-15,176
MEDILL JOURNALISM,2015-16,143
MEDILL JOURNALISM,2016-17,149
MEDILL JOURNALISM,2017-18,171
MEDILL JOURNALISM,2018-19,178
MEDILL JOURNALISM,2019-20,151
MEDILL JOURNALISM,2020-21,187
MEDILL JOURNALISM,2021-22,185
FEINBERG MEDICINE,2012-13,0
FEINBERG MEDICINE,2013-14,0
FEINBERG MEDICINE,2014-15,1
FEINBERG MEDICINE,2015-16,0
FEINBERG MEDICINE,2016-17,0
FEINBERG MEDICINE,2017-18,0
FEINBERG MEDICINE,2018-19,0
FEINBERG MEDICINE,2019-20,0
FEINBERG MEDICINE,2020-21,0
FEINBERG MEDICINE,2021-22,0
BIENEN MUSIC,2012-13,79
BIENEN MUSIC,2013-14,93
BIENEN MUSIC,2014-15,68
BIENEN MUSIC,2015-16,85
BIENEN MUSIC,2016-17,74
BIENEN MUSIC,2017-18,81
BIENEN MUSIC,2018-19,78
BIENEN MUSIC,2019-20,95
BIENEN MUSIC,2020-21,73
BIENEN MUSIC,2021-22,76
