geoid,cnty_id,county,total_pop_cen,total_hu_cen,occupied_hu_cen
01,001,Autauga County,58805,24350,22412
01,003,Baldwin County,231767,124148,93116
01,005,Barbour County,25223,11618,9677
01,007,Bibb County,22293,9002,7927
01,009,Blount County,59134,24622,22367
01,011,Bullock County,10357,4516,3928
01,013,Butler County,19051,9806,8170
21,135,Lewis County,13080,6023,5239
21,137,Lincoln County,24275,10777,9711
21,139,Livingston County,8888,4589,3789
21,141,Logan County,27432,12461,11000
21,143,Lyon County,8680,4780,3327
21,145,McCracken County,67875,32040,28932
21,147,McCreary County,16888,6892,6058
21,151,Madison County,92701,39319,36148
21,155,Marion County,19581,8350,7752
21,157,Marshall County,31659,16351,13359
21,161,Mason County,17120,8160,7136
21,163,Meade County,30003,11943,11045
21,167,Mercer County,22641,10338,9213
21,169,Metcalfe County,10286,4691,4148
21,173,Montgomery County,28114,12125,11117
21,175,Morgan County,13726,5610,4841
21,179,Nelson County,46738,19716,18462
21,181,Nicholas County,7537,3316,2954
21,185,Oldham County,67607,23064,22133
21,187,Owen County,11278,5323,4349
21,191,Pendleton County,14644,6263,5533
21,195,Pike County,58669,28693,24534
21,197,Powell County,13129,5587,5065
21,201,Robertson County,2193,1038,882
21,203,Rockcastle County,16037,7321,6546
21,207,Russell County,17991,10088,7461
21,209,Scott County,57155,22795,21371
21,213,Simpson County,19594,8263,7600
21,215,Spencer County,19490,7430,7122
21,219,Todd County,12243,5117,4566
21,223,Trimble County,8474,3841,3398
21,225,Union County,13668,5863,5293
21,229,Washington County,12027,5196,4674
21,231,Wayne County,19555,10105,8085
21,235,Whitley County,36712,15469,13794
21,237,Wolfe County,6562,3021,2634
23,001,Androscoggin County,111139,49837,45393
23,003,Aroostook County,67105,38303,29784
23,007,Franklin County,29456,20856,12842
23,009,Hancock County,55478,40133,24948
23,013,Knox County,40607,24255,17883
23,015,Lincoln County,35237,23608,15803
23,019,Penobscot County,152199,74878,64250
23,021,Piscataquis County,16800,14577,7615
23,025,Somerset County,50477,29785,21924
23,029,Washington County,31095,21594,13757
23,031,York County,211972,112198,88924
27,003,Anoka County,363887,138017,133879
27,005,Becker County,35183,19620,14371
27,007,Beltrami County,46228,21271,17678
27,009,Benton County,41379,17315,16479
27,011,Big Stone County,5166,2982,2224
27,013,Blue Earth County,69112,29169,27193
27,015,Brown County,25912,11780,10970
27,017,Carlton County,36207,15688,13789
27,019,Carver County,106922,40380,38863
27,021,Cass County,30066,23872,12614
27,023,Chippewa County,12598,5627,5150
27,025,Chisago County,56621,22294,20900
47,121,Meigs County,12758,6042,5058
47,125,Montgomery County,220069,85714,79841
47,127,Moore County,6461,2960,2590
47,131,Obion County,30787,14314,12928
47,133,Overton County,22511,10329,9147
47,137,Pickett County,5001,3342,2192
47,139,Polk County,17544,8561,7160
47,143,Rhea County,32870,15163,13082
47,145,Roane County,53404,25374,22322
47,149,Rutherford County,341486,131216,124465
47,151,Scott County,21850,9802,8625
47,153,Sequatchie County,15826,6925,6190
47,157,Shelby County,929744,400189,364625
47,159,Smith County,19904,8513,7663
47,163,Sullivan County,158163,75476,67853
47,165,Sumner County,196281,78995,74472
47,169,Trousdale County,11615,3749,3469
47,171,Unicoi County,17928,8702,7638
47,175,Van Buren County,6168,2901,2459
47,177,Warren County,40953,18088,16336
47,181,Wayne County,16232,7178,6016
47,183,Weakley County,32902,14945,13373
47,187,Williamson County,247726,91133,86884
47,189,Wilson County,147737,58152,55074
49,003,Box Elder County,57666,19517,18678
49,005,Cache County,133154,43774,41658
49,009,Daggett County,935,1138,392
49,011,Davis County,362679,115217,111552
49,015,Emery County,9825,4069,3535
49,017,Garfield County,5083,3501,1881
49,019,Grand County,9669,5192,4006
49,021,Iron County,57289,21752,18731
49,023,Juab County,11786,3816,3529
49,025,Kane County,7667,6004,3081
49,027,Millard County,12975,4907,4299
49,029,Morgan County,12295,3703,3574
49,031,Piute County,1438,848,536
49,033,Rich County,2510,3100,886
49,035,Salt Lake County,1185238,428279,405229
49,037,San Juan County,14518,5489,4649
49,039,Sanpete County,28437,10237,8394
49,041,Sevier County,21522,8517,7464
49,043,Summit County,42357,25674,15688
49,045,Tooele County,72698,23002,22087
49,047,Uintah County,35620,13657,11993
49,049,Utah County,659399,192570,184558
49,051,Wasatch County,34788,14462,11040
49,053,Washington County,180279,74530,62416
49,055,Wayne County,2486,1678,1064
49,057,Weber County,262223,95614,89595
50,003,Bennington County,37347,20815,15699
50,005,Caledonia County,30233,15997,12654
50,009,Essex County,5920,4867,2695
50,011,Franklin County,49946,22642,19918
50,015,Lamoille County,25945,13878,10994
50,017,Orange County,29277,14953,12364
50,021,Rutland County,60572,33869,26651
50,023,Washington County,59807,30645,25842
50,027,Windsor County,57753,34625,25859
51,001,Accomack County,33413,21703,14302
27,165,Watonwan County,11253,4874,4476
29,037,Cass County,107824,43445,40907
29,043,Christian County,88842,35134,33385
29,049,Clinton County,21184,8934,8173
29,055,Crawford County,23056,11378,9314
29,061,Daviess County,8430,4123,3233
29,067,Douglas County,11578,5346,4635
29,073,Gasconade County,14794,7577,6111
29,079,Grundy County,9808,4844,3996
29,085,Hickory County,8279,5464,3691
29,091,Howell County,39750,18048,16117
29,097,Jasper County,122761,52739,48119
29,101,Johnson County,54013,22601,20321
29,107,Lafayette County,32984,14065,12864
29,113,Lincoln County,59574,23366,21812
29,119,McDonald County,23303,9760,8518
29,125,Maries County,8432,4263,3477
29,131,Miller County,24722,12476,9867
29,137,Monroe County,8666,4466,3565
29,143,New Madrid County,16434,7870,6917
29,149,Oregon County,8635,4316,3671
29,155,Pemiscot County,15661,7484,6442
29,203,Shannon County,7031,3513,2948
29,209,Stone County,31076,19935,13296
29,215,Texas County,24487,11004,9360
29,221,Washington County,23514,10719,8919
29,227,Worth County,1973,1114,876
29,510,St. Louis city,301578,173479,144870
12,005,Bay County,175216,102971,70134
12,011,Broward County,1944375,860329,756657
12,017,Citrus County,153843,81687,69438
12,023,Columbia County,69698,29775,26424
12,031,Duval County,995567,435033,399759
