school,year,doctorates
WEINBERG ARTS AND SCIENCES,2010-11,195
WEINBERG ARTS AND SCIENCES,2011-12,166
WEINBERG ARTS AND SCIENCES,2012-13,211
WEINBERG ARTS AND SCIENCES,2013-14,210
WEINBERG ARTS AND SCIENCES,2014-15,186
WEINBERG ARTS AND SCIENCES,2015-16,219
WEINBERG ARTS AND SCIENCES,2016-17,196
WEINBERG ARTS AND SCIENCES,2017-18,217
WEINBERG ARTS AND SCIENCES,2018-19,239
WEINBERG ARTS AND SCIENCES,2019-20,207
WEINBERG ARTS AND SCIENCES,2020-21,204
WEINBERG ARTS AND SCIENCES,2021-22,220
COMMUNICATION,2010-11,30
COMMUNICATION,2011-12,35
COMMUNICATION,2012-13,53
COMMUNICATION,2013-14,32
COMMUNICATION,2014-15,38
COMMUNICATION,2015-16,47
COMMUNICATION,2016-17,38
COMMUNICATION,2017-18,34
COMMUNICATION,2018-19,49
COMMUNICATION,2019-20,56
COMMUNICATION,2020-21,71
COMMUNICATION,2021-22,72
EDUCATION AND SOCIAL POLICY,2010-11,8
EDUCATION AND SOCIAL POLICY,2011-12,5
EDUCATION AND SOCIAL POLICY,2012-13,16
EDUCATION AND SOCIAL POLICY,2013-14,6
EDUCATION AND SOCIAL POLICY,2014-15,10
EDUCATION AND SOCIAL POLICY,2015-16,7
EDUCATION AND SOCIAL POLICY,2016-17,10
EDUCATION AND SOCIAL POLICY,2017-18,8
EDUCATION AND SOCIAL POLICY,2018-19,7
EDUCATION AND SOCIAL POLICY,2019-20,8
EDUCATION AND SOCIAL POLICY,2020-21,4
EDUCATION AND SOCIAL POLICY,2021-22,18
MCCORMICK ENGINEERING,2010-11,99
MCCORMICK ENGINEERING,2011-12,100
MCCORMICK ENGINEERING,2012-13,129
MCCORMICK ENGINEERING,2013-14,120
MCCORMICK ENGINEERING,2014-15,137
MCCORMICK ENGINEERING,2015-16,121
MCCORMICK ENGINEERING,2016-17,145
MCCORMICK ENGINEERING,2017-18,120
MCCORMICK ENGINEERING,2018-19,142
MCCORMICK ENGINEERING,2019-20,143
MCCORMICK ENGINEERING,2020-21,131
MCCORMICK ENGINEERING,2021-22,132
LAW,2010-11,0
LAW,2011-12,0
LAW,2012-13,2
LAW,2013-14,0
LAW,2014-15,1
LAW,2015-16,0
LAW,2016-17,2
LAW,2017-18,0
LAW,2018-19,0
LAW,2019-20,1
LAW,2020-21,0
LAW,2021-22,1
KELLOGG MANAGEMENT,2010-11,18
KELLOGG MANAGEMENT,2011-12,23
KELLOGG MANAGEMENT,2012-13,16
KELLOGG MANAGEMENT,2013-14,20
KELLOGG MANAGEMENT,2014-15,27
KELLOGG MANAGEMENT,2015-16,22
KELLOGG MANAGEMENT,2016-17,15
KELLOGG MANAGEMENT,2017-18,17
KELLOGG MANAGEMENT,2018-19,23
KELLOGG MANAGEMENT,2019-20,12
KELLOGG MANAGEMENT,2020-21,16
KELLOGG MANAGEMENT,2021-22,25
FEINBERG MEDICINE/LIFE SCIENCES,2010-11,29
FEINBERG MEDICINE/LIFE SCIENCES,2011-12,42
FEINBERG MEDICINE/LIFE SCIENCES,2012-13,49
FEINBERG MEDICINE/LIFE SCIENCES,2013-14,43
FEINBERG MEDICINE/LIFE SCIENCES,2014-15,30
FEINBERG MEDICINE/LIFE SCIENCES,2015-16,46
FEINBERG MEDICINE/LIFE SCIENCES,2016-17,33
FEINBERG MEDICINE/LIFE SCIENCES,2017-18,45
FEINBERG MEDICINE/LIFE SCIENCES,2018-19,37
FEINBERG MEDICINE/LIFE SCIENCES,2019-20,36
FEINBERG MEDICINE/LIFE SCIENCES,2020-21,33
FEINBERG MEDICINE/LIFE SCIENCES,2021-22,49
BIENEN MUSIC,2010-11,16
BIENEN MUSIC,2011-12,20
BIENEN MUSIC,2012-13,16
BIENEN MUSIC,2013-14,21
BIENEN MUSIC,2014-15,20
BIENEN MUSIC,2015-16,22
BIENEN MUSIC,2016-17,15
BIENEN MUSIC,2017-18,14
BIENEN MUSIC,2018-19,17
BIENEN MUSIC,2019-20,9
BIENEN MUSIC,2020-21,27
BIENEN MUSIC,2021-22,35
INTER-SCHOOL/OTHER,2010-11,71
INTER-SCHOOL/OTHER,2011-12,54
INTER-SCHOOL/OTHER,2012-13,73
INTER-SCHOOL/OTHER,2013-14,80
INTER-SCHOOL/OTHER,2014-15,74
INTER-SCHOOL/OTHER,2015-16,90
INTER-SCHOOL/OTHER,2016-17,94
INTER-SCHOOL/OTHER,2017-18,94
INTER-SCHOOL/OTHER,2018-19,105
INTER-SCHOOL/OTHER,2019-20,95
INTER-SCHOOL/OTHER,2020-21,99
INTER-SCHOOL/OTHER,2021-22,101
