year,month,title,url,text
NA,July,To Participants of the Orthodox-Catholic Ecumenical Pilgrimage from the United States of America (17 July 2025),https://www.vatican.va/content/leo-xiv/en/speeches/2025/july/documents/20250717-pellegrinaggio-ecumenico-usa.html,"ADDRESS OF POPE LEO XIVTO PARTICIPANTS OF THE ORTHODOX-CATHOLIC ECUMENICAL PILGRIMAGEFROM THE UNITED STATES OF AMERICA Castel GandolfoThursday, 17 July 2025 [Multimedia] ___________ Mydear brothers and sisters, I offer a cordial greeting to all of you, especially toMetropolitan Elpidophoros and Cardinal Tobin and I thank them for arranging this meeting as part of your pilgrimage. You are all very welcome. I am sorry that I am a little bit late. Several meetings were scheduled this morning. But I am very happy to have this moment to spend with you in this beautiful place, Castel Gandolfo. You have set out from the United States, which as you know, is alsomy native country, and this journey is meant to be a return to the roots,the sources, the places, the memorials of the Apostles Peter and Paul in Rome, and of the Apostle Andrew in Constantinople. It is also a way to experience anew and in a concrete way the faith that comes from listening to the Gospel,hearing the Gospel handed down to us by the Apostles (cf.Rom10:16). It is significant that your pilgrimage is taking place this year, in which we celebrate one thousand seven hundred years of the Council of Nicaea. The Symbol of Faith adopted by the assembled Fathers remains – together with the additions made at the Council of Constantinople in 381 – the common patrimony of all Christians, for many of whom the Creed is an integral part of their liturgical celebrations. Then too, by a providential coincidence, this year the two calendars in use in our Churches coincide, with the result that we were able to chant as one the Easter Alleluia: “Christ is risen! He is truly risen!” Those words proclaim that the darkness of sin and death have been vanquished by the Lamb that was slain, Jesus Christ our Lord. This inspires us with great hope, for we know that no cry of the innocent victims of violence, no lament of mothers mourning their children will go unheard. Our hope is in God, yet precisely because we constantly draw from the inexhaustible source of his grace, we are called to be witnesses and bearers of hope. The Catholic Church is presently celebrating ourJubilee year whose motto, chosen by my predecessorPope Francis, is“Peregrinantes in Spe”, that is, pilgrims in hope. Your Eminence, Metropolitan Elpidophoros, your very name tells us that you are a bearer of hope! It is my hope that your pilgrimage will confirm all of you in the hope born of our faith in the risen Lord! Here in Rome, you have spent time in prayer at the tombs of Peter and Paul. As you now visit the See of Constantinople, I wouldask you to bring greetings and my embrace, an embrace of peace, to my venerable brother Patriarch Bartholomew, who so kindly attended the Holy Mass for the inauguration of my pontificate. I hope to be able to meet you again, in a few months, to take part in the ecumenical commemoration of the anniversary of the Council of Nicaea. Your pilgrimage is one of the abundant fruits of the ecumenical movement aimed at restoring full unity among all Christ’s disciples in accordance with the Lord’s prayer at the Last Supper, when Jesus said, “that they may all be one” (Jn17:21). At times, we take for granted these signs of sharing and fellowship that, albeit not yet signifying full unity, already manifest the theological progress and the dialogue of charity that have marked recent decades. On December 7th,1965, on the eve of the conclusion of theSecond Vatican Council, my predecessorSaint Paul VIand the Patriarch, Athenagoras signed aJoint Declarationremoving from memory and the midst of the Church the sentences of excommunication that followed the events of the year1054. Before then, a pilgrimage like your own would probably not even have been possible. The work of the Holy Spirit created in hearts the readiness to take those steps as a prophetic presage of full and visible unity. For our part, we too must continue to implore from the Paraclete, the Consoler, the grace to pursue the path of unity and fraternal charity. Unity among those who believe in Christ is one of the signs of God’s gift of consolation; Scripture promises that “in Jerusalem you will be comforted” (Is66:13). Rome, Constantinople and all the other Sees, are not called to vie for primacy, lest we risk finding ourselves like the disciples who along the way, even as Jesus was announcing his coming passion, argued about which of them was the greatest (cf.Mk9:33-37). In his Bull of Indiction for the Jubilee Year,Pope Francisnoted that “the Holy Year will also guide our steps towards yet another fundamental celebration for all Christians: 2033 will mark the two thousandth anniversary of the redemption won by the passion, death and resurrection of the Lord Jesus” (Spes Non Confundit, 6). Spiritually, all of us need to return to Jerusalem, the City of Peace, where Peter, Andrew and all the Apostles, after the days of the Lord’s passion and resurrection, received the Holy Spirit at Pentecost, and from there bore witness to Christ to the ends of the earth. May our return to the roots of our faith make all of us experience the gift of God’s consolation and make us capable, like the Good Samaritan, of pouring out the oil of consolation and the wine of gladness on today’s humanity. Thank you. Copyright © Dicastero per la Comunicazione - Libreria Editrice Vaticana"
2025,NA,"To Participants in the General Chapters of the Pontifical Institute for Foreign Missions (PIME), the Maestre Pie Filippini, the Maestre Pie Venerini, the Daughters of the Church, the Salesian Oblates of the Sacred Heart, the Angeline Franciscan Sisters,  the Institute of Oblates of Jesus and Mary, and the Daughters of Mary, Sisters of the Pious Schools (Scolopians) (12 July 2025)",https://www.vatican.va/content/leo-xiv/en/speeches/2025/july/documents/20250712-capitoli-generali.html,"ADDRESS OF POPE LEO XIVTO PARTICIPANTS IN THE GENERAL CHAPTERSOF EIGHT RELIGIOUS INSTITUTES Pontifical Villas of Castel Gandolfo, Inner courtyard of the Apostolic PalaceSaturday, 12 July 2025 [Multimedia] ___________ In the name of the Father, of the Son, and of the Holy Spirit. Peace be with you. Welcome to you all! Let us sit down and reflect together a little. Dear brothers and sisters, I welcome you with joy on the occasion of your Chapters and Assemblies. I greet the Superiors General, the members of the Councils, and all of you. You have gathered to pray, to discuss and to reflect together on what the Lord asks of you for the future. Your Founders and Foundresses, docile to the action of the Holy Spirit, have left you the legacy of various charisms for the edification of the Body of Christ (cf.Eph4:11-12), and it is precisely so that this may grow according to God’s plans that the Church asks of you the service that you are carrying out (cf. Second Vatican Ecumenical Council, DecreePerfectae caritatis, 4). Your respective Institutes embody complementary aspects of the life and action of all the People of God: the offering of self in union with the Sacrifice of Christ, the missionad gentes, love for the Church preserved and transmitted, the education and formation of the young. These are different ways in which the one and eternal reality that animates them all is expressed in charismatic form: God's love for humanity. As is customary, then, each of your Congregations identified particular angles, in the light of which to reinterpret the legacy received, in order to update and modernize its contents. These pathways of work, which you chose during the time of preparation, in prayer and mutual listening, are also a precious gift insofar as they are the fruit of the Spirit. It is He who, through the contribution of many, under the guidance of the Pastors, “helps the Christian community to advance in charity towards the fullness of truth (cf.Jn16:13)” (Benedict XVI,Homily at the Holy Mass for the Inauguration of the Fifth General Conference of the Bishops of Latin America and the Caribbean, 13 May 2007). You have thus formulated guidelines that contain fundamental calls: to renew an authentic missionary spirit, to make one's own the attitude “that is also yours in Christ Jesus” (cf.Phil2:5), to promote peace, to cultivate pastoral co-responsibility in local churches, and so on. To stay by their side and to remember them together, at this time, helps us to grasp the richness of our being in a community, especially as men and women religious, engaged in the same wonderful adventure of “[following] Christ more nearly” (Catechism of the Catholic Church, 916). May this renew and confirm in all of us the awareness and the joy of being Church, and in particular spur you, in your discernment in the Chapters, to think on a large scale, as unique pieces of a plan that exceeds you and involves you beyond your own expectations: the plan of salvation with which God wants to bring all of humanity back to himself, as one big family (cf. Francis,General Audience, 29 May 2013). This is the spirit in which your Institutes were born, and this is the perspective in which to place every effort, so that it may contribute, through small lights, to spreading over the whole earth the light of Christ, which never dims (cf. Roman Missal,Easter Precony). Dear friends, let us ask the Lord together to be docile to the voice of his Spirit, who “teaches everything” (cf.Jn14:26), and without whose help, in our weakness, we do not even know how to ask as we ought (cf.Rom8:26). Thank you for your work and for your faithful presence in so many parts of the world. I bless you from my heart, and I pray for you. Thank you! Let us pray together: [Our Father] [Blessing] Thank you all! __________________ Daily Bulletin of the Holy See Press Office, 12 July 2025 Copyright © Dicastero per la Comunicazione - Libreria Editrice Vaticana"
2025,July,NA,https://www.vatican.va/content/leo-xiv/en/speeches/2025/july/documents/20250705-agostiniane.html,"GREETING OF HIS HOLINESS POPE LEO XIVTO THE AUGUSTINIAN SISTERS, SERVANTS OF JESUS AND MARY Saturday, 5 July 2025 [Multimedia] ____________________________________ In the name of the Father, of the Son, and of the Holy Spirit, Peace be with you! Dear sisters, I am pleased to meet you at the end of your provincial Chapter: in this week of prayer, discernment and joint planning, you have been able to renew your adhesion to the charism of your foundress, the venerable Sister Maria Teresa Spinelli. While the process of her canonization continues, your journey of holiness proceeds too! As Augustinian Sisters, Servants of Jesus and Mary, I encourage you to let yourselves be guided anew by the name you bear. Indeed, the service you carry out every day is realized first and foremost in the consecration of life to the Lord, and is strengthened in sincere devotion to his and our Mother. By imitating Sister Maria Teresa, you will therefore be patient in tribulations, because it is precisely in our trials that the Lord confirms his faithfulness; you will be courageous in the mission, so that the educational work to which you dedicate yourselves may form wise minds and hearts capable of listening and of passion for humanity; you will be unwavering in the following of Christ, who is “the way, the truth and the life” (Jn14:6), and therefore the criterion for all our cultural initiatives. We know that a culture without truth becomes an instrument of the powerful: instead of freeing consciences, it confuses and distracts them according to the interests of the market, fashion or worldly success. In this regard, I advise you to pick up again a work by the holy Doctor, our father Augustine,De Magistro, to contemplate it in the near future, as you gather the fruits of your Chapter. In this work, Augustine affirms that external teaching must always lead to the encounter with the inner Master, who is Jesus (cf. I, 11). In his name, I wish all the best to your communities, and I wholeheartedly impart the apostolic blessing to you. Thank you! ____________ Daily Bulletin of the Holy See Press Office, 5 July 2025 Copyright © Dicastero per la Comunicazione - Libreria Editrice Vaticana"
2025,July,"To Teachers of Catholic Schools in Ireland, England, Wales, and Scotland; and to the Young People of the Diocese of Copenhagen (5 July 2025)",NA,"GREETING OF HIS HOLINESS POPE LEO XIVTO PILGRIMS FROM DENMARK, IRELAND, ENGLAND, WALES AND SCOTLAND Clementine HallSaturday, 5 July 2025 [Multimedia] ____________________________________ In the name of the Father, and of the Son and of the Holy Spirit. Peace be with you! Good morning and welcome to the Vatican. Your Excellencies,Dear priests and young friends, I am pleased to greet all of you on the occasion of your pilgrimage to Rome during this Jubilee Year, which as you know is focused on the theological virtue of hope. In particular, I welcome the young people from the Diocese of Copenhagen, which isthisgroup, together with the teachers from Ireland, England, Wales and Scotland. You are following in the footsteps of countless pilgrims from your various countries, who for centuries have been making this same pilgrimage to Rome, to the “Eternal City”. Indeed, Rome has always been a special home for Christians, since it is the place where the Apostles Peter and Paul gave the supreme witness to their love for Jesus by offering their lives as martyrs. As the Successor of Peter, I wish to express my gratitude for your presence here, and I pray that by visiting the various holy sites you may draw inspiration and hope from the profound example of how the saints and martyrs imitated Christ. A pilgrimage has a vital part to play in our life of faith, for it removes us from our homes and our daily routines, and gives us time and space to encounter God more deeply. Such moments always help us to grow, for through them the Holy Spirit gently fashions us to be ever more closely conformed to the mind and the heart of Jesus Christ. In a particular way, dear brothers and sisters, young people gathered with us this morning, remember that God has created each one of you with a purpose and a mission in this life. Use this opportunity for listening, for prayer, so that you may hear more clearly God’s voice calling you deep within your hearts. I would add that today, so often, we lose the ability to listen, to really listen. We listen to music, we have our ears flooded constantly with all kinds of digital input, but sometimes we forget to listen to our own hearts and it’s in our hearts that God speaks to us, that God calls us and invites us to know him better and to live in his love. And through that listening you might be open to allowing God’s grace to strengthen your faith in Jesus (cf.Col2:7), so that you might more readily share that gift with others. And addressing you, dear teachers: what I have just said to the young people applies equally to you, especially given your important role in the formation of today’s youth: children, teenagers, young adults. For they will look up to you as models: models in life, models of faith. They’ll look to you particularly as tohowyou teach and how you live. I hope that, each day, you will nurture your relationship with Christ, who gives us the pattern of all authentic teaching (cfMt7:28), so that, in turn, you may guide and encourage those entrusted to your care to follow Christ in their own lives. And finally, when all of you return home, please remember that a pilgrimage does not end, it shifts its focus to the daily “pilgrimage of discipleship”. We are all pilgrims and we are always pilgrims, walking as we seek to follow the Lord, and as we seek the path that is truly ours in life. That’s certainly not easy, but with the help of the Lord, the intercession of the saints, and by encouraging one another, you can be certain that, as long as you remain faithful, trusting always in God’s mercy, the experience of this pilgrimage will continue to bear fruit throughout your lives (cf.Jn15:16). Dear friends, with these few words, and entrusting you to the intercession of Mary, Mother of the Church, I gladly impart to each of you my heartfelt blessing. God bless you and thank you. Copyright © Dicastero per la Comunicazione - Libreria Editrice Vaticana"
2025,July,To Members of the Synod of the Ukrainian Greek-Catholic Church (2 July 2025),https://www.vatican.va/content/leo-xiv/en/speeches/2025/july/documents/20250702-chiesa-grecocatt-ucraina.html,NA
2025,June,"To Participants in the General Chapters of the Daughters of Divine Charity, of the Sisters of the Order of Saint Basil the Great, of the Augustinian Sisters of Amparo and of the Franciscan Sisters of the Sacred Heart (30 June 2025)",https://www.vatican.va/content/leo-xiv/en/speeches/2025/june/documents/20250630-capitoli-generali-suore.html,"ADDRESS OF POPE LEO XIVTO THE REPRESENTATIVES OF CERTAIN WOMEN’S RELIGIOUS INSTITUTES Clementine HallMonday, 30 June 2025 [Multimedia] __________ In the name of the Father, and of the Son and of the Holy Spirit.Peace be with you!  Dear Sisters, good morning and welcome! I am pleased to meet with you. For some of you it is the occasion of your General Chapter, others are here for your Jubilee pilgrimage. In both cases, you have come to the tomb of Peter in order to renew your love for the Lord and your fidelity to the Church. You belong to Congregations that were founded at different times and in distinct circumstances: Sisters of the Order of Saint Basil the Great; Daughters of Divine Charity; Augustinian Sisters of Amparo; Franciscan Sisters of the Sacred Hearts. Yet your histories share a common thread that can be seen in the light of such great historical witnesses to the spiritual life as Augustine, Basil and Francis, whose asceticism, courage and holiness of life inspired your founders to foster new ways of serving others. This is evident especially in your care for the weakest: children, poor girls and boys, orphans, migrants, and more recently for the elderly and the sick as well as many other ministries of charity. Your response to the challenges of the past and the vitality of your present make clear that fidelity to the ancient wisdom of the Gospel is the best way forward for those who, led by the Holy Spirit, undertake new paths of self-giving, dedicated to loving God and neighbor and listening attentively to the signs of the times (cf. SECOND VATICAN ECUMENICAL COUNCIL, Pastoral ConstitutionGaudium et Spes, 4; 11). With this in mind, theSecond Vatican Council, referring to religious institutes dedicated to works of charity, emphasized how important it is that in them “the entire religious life of the members should be imbued with an apostolic spirit, and all their apostolic activity with a religious spirit,” so that they “may first answer their call to follow Christ and to serve Christ himself in his members... in intimate union with him” (DecreePerfectae Caritatis, 8). Saint Augustine, speaking of the primacy of God in the Christian life, affirms that, “God is your everything. If you are hungry, God is your bread; if you are thirsty, God is your water; if you are in darkness, God is your light that never fades; if you are naked, God is your everlasting garment” (In Ioannis Evangelium, 13, 5). Indeed, we would do well to ask ourselves: to what extent are these words true for me? How much does the Lord satisfy my thirst for life, love or light? These are important questions. Moreover, this rootedness in Christ is what led those who went before us – men and women like us, with gifts and limitations like ours – to do things they perhaps never thought they could achieve. This rootedness enabled them to sow seeds of goodness that, enduring throughout the centuries and across continents, have now reached practically the entire world, as your presence here demonstrates. As I mentioned, some of you are engaged in your General Chapters, others are here for the Jubilee. In any case, you are faced with important choices that will determine your future, that of your sisters and of the Church herself. For this reason, it seems most appropriate to conclude by reiterating, for all of us, the beautiful hope expressed by Saint Paul in addressing the Christians of Ephesus: I pray that “Christ may dwell in your hearts through faith, as you are being rooted and grounded in love. I pray that you may have the power to comprehend, with all the saints, what is the breadth and length and height and depth, and to know the love of Christ that surpasses knowledge, so that you may be filled with all the fullness of God” (Eph3:17-19). Thank you for your work and your fidelity. May the Blessed Virgin Mary accompany you. And I give you my blessing. Copyright © Dicastero per la Comunicazione - Libreria Editrice Vaticana"
2025,June,To Pilgrims of the Ukrainian Greek-Catholic Church (28 June 2025),https://www.vatican.va/content/leo-xiv/en/speeches/2025/june/documents/20250628-chiesa-greco-cattolica-ucraina.html,"ADDRESS OF THE HOLY FATHER LEO XIVTO PILGRIMS OF THE UKRAINIAN GREEK-CATHOLIC CHURCH St. Peter's BasilicaSaturday, 28 June 2025 [Multimedia] __________ In the name of the Father, of the Son, and of the Holy Spirit. Peace be with you. Dear brothers in the Episcopate,Dear priests, women and men religious,Dear sisters, dear brothers! I cordially greet you, dear faithful of the Greek-Catholic Ukrainian Church, who have come to the tomb of the Apostle Peter on the occasion of the Jubilee year. I greet His Beatitude Shevchuk, major archbishop of Kyiv-Halyč, the bishops, the priests, consecrated women and men, and all the lay faithful. Your pilgrimage is a sign of the desire to renew the faith, to strengthen the bond and the communion with the Bishop of Rome, and to bear witness to the hope that does not disappoint, since it is born from the love of Christ that was poured into our hearts by the Holy Spirit (cf.Rm5:5). The Jubilee calls us to become pilgrims of this hope in our entire life, despite the adversities of the current moment. The journey to Rome, with the passage through the Holy Doors and the visits to the tombs of the Apostles and the Martyrs, is the symbol of this daily journey, striving towards eternity, where the Lord will dry every tear and there will be no more death, no more mourning, no more sorrow, no more pain (cf.Rev21:4). Many of you, in order to arrive here, departed from your beautiful land, rich in Christian faith, rendered fruitful by the evangelical witness of so many saints, and irrigated with the blood of many martyrs, who throughout the centuries, with the gift of their life, sealed their fidelity to the Apostle Peter and his Successors. Faith, dear friends, is a treasure to be shared. Every time brings with it difficulties, hardships and challenges, but also opportunities to grow in trust and in surrender to God. The faith of your people is now being sorely tested. Many of you, since the large-scale invasion of Ukraine began, have surely asked: Lord, why all this? Where are you? What must we do to save our families, our homes and our homeland? To believe does not mean to have all the answers, but to trust that God is with us and gives us His grace, that He will have the last word, and life will conquer death. The Virgin Mary, so dear to the Ukrainian people, with her humble and courageous “yes”, opened the door to the redemption of the world; she assures us that our “yes”, simple and sincere, can also become a tool in God’s hands, to realize something great. Confirmed in faith by the Successor of Peter, I urge you to share it with your loved ones, your compatriots and all those whom the Lord will lead you to meet. To say “yes” today can enable new horizons of faith, hope and peace to be opened up, especially to all those who are suffering. Sisters and brothers, as I meet you here, I would like to express my closeness to tormented Ukraine, to the children, the young people, the elderly and, in a special way, to the families who mourn their loved ones. I share your sorrow for the prisoners and victims of this senseless war. I entrust to the Lord your intentions, your daily hardships and tragedies, and above all, the desires for peace and serenity. I encourage you to walk together, pastors and faithful, keeping your eyes fixed on Jesus, our salvation. May the Virgin Mary, who precisely because of her union with the passion of her Son is Mother of Hope, guide and protect you. I bless all of you, your families, your Church and your people, from my heart. Thank you. ___________________ Daily Bulletin of the Holy See Press Office, 28 June 2025 Copyright © Dicastero per la Comunicazione - Libreria Editrice Vaticana"
2025,June,Audience with participants in the General Chapter of Vallombrosians (28 June 2025),https://www.vatican.va/content/leo-xiv/en/speeches/2025/june/documents/20250628-congregazione-vallombrosana.html,"ADDRESS OF HIS HOLINESS POPE LEO XIVTO PARTICIPANTS IN THE GENERAL CHAPTEROF VALLOMBROSIANS Saturday, 28 June 2025 [Multimedia] ___________________ In the name of the Father, and the Son, and the Holy Spirit. Peace be with you!First of all, welcome, good morning to you all! I greet the Abbot General, who has been newly elected, and I thank all of you for the gift that your monastic life represents, recalling the entire Church to the primacy of God as the source of joy and the basis of personal and social transformation. As at the beginning of your history, when Saint John Gualbert obeyed the vocation that impelled him to greater authenticity, we again find ourselves at the dawn of a new millennium in which, amid many fears, the entire world seems to be reshaping itself. It is not a question of abandoning the challenges of our time, but of dwelling within them with the depth of those who are silent and listen to the Word of God, so as to bring it to light in a changing culture. The fragility of those beginnings can inspire and console the present fragilities. We are often less strong than in the past, less young, less numerous, at times harmed by human limitations and mistakes, but the Gospel welcomedsine glossawill never cease to spread the fragrance of its beauty. Let nothing hold you back from the original need to reform, renew and simplify, to the benefit of everyone, that Christian life that is still able to broaden the horizons and the breath of every human existence. As early as 1973,Saint Paul VIrecalled your Founder and the Congregation’s first steps in this way: “He wanted a ‘novum institutum’ that would return to the genuine sources of prayer and the apostolate, as the Apostles, the Fathers of the Church, and his Saint Benedict had done; and the first friars, who gathered around him in Vallombrosa, indeed sought and found that ‘nova conversio’, which was felt as a wellspring of personal sanctification, but which would likewise prove to be a leaven of new life”[1]. Pope Montini – who knows, perhaps many of you were young monks at that time… I see that some of you are very young though! – insisted on the current relevance of those beginnings, observing that “the renewal of religious orders, and of the Church in general, in the clergy and in the laity, are the most lively and impassioned points of the Council and post-Council period”[2]. My beloved predecessor,Pope Francis, tirelessly urged all of us to continue the renewal of the Church promoted byVatican Council II. We are still asked to overcome self-referentiality, to be poorer and to listen to the poor, to intensify the bonds of communion. In particular, may communion with the other Congregations of the daughters and sons of Saint Benedict help you to remain faithful to the Rule, in dialogue with the contemporary world. Indeed, the quest for a spirituality in which prayer, work and joy intertwine in fidelity to everyday places and things, is always new. Be attentive and hospitable witnesses to it. I encourage you to look forward with hope, with an affectionate thought also for all your confrères, while I impart to you my heartfelt Apostolic Blessing. Thank you!____________________________ [1]Paul VI,Address to the General Council of the Benedictine Congregation of Vallombrosa, 28 March 1973. [2]Ibidem._____________________________ Holy See Press Office Bulletin, 28 June 2025 Copyright © Dicastero per la Comunicazione - Libreria Editrice Vaticana"
2025,June,Address of His Holiness Pope Leo XIV to the Delegation of the Ecumenical Patriarchate on the occasion of the Solemnity of Saints Peter and Paul (28 June 2025),https://www.vatican.va/content/leo-xiv/en/speeches/2025/june/documents/20250628-patriarcato-ecumenico.html,"ADDRESS OF HIS HOLINESS POPE LEO XIVTO THE DELEGATION OF THE ECUMENICAL PATRIARCHATEON THE OCCASION OF THE SOLEMNITY OF SAINTS PETER AND PAUL 28 June 2025 [Multimedia] ___________________ Your Eminences,Dear Brothers in Christ, I am especially happy to welcome, for the first time after my election as Bishop of Rome and successor of the Apostle Peter, this Delegation representing the sister Church of Constantinople as we celebrate the Feast of Saints Peter and Paul, Patrons of the Church of Rome. This traditional exchange of Delegations between the two Churches on the occasion of the respective feasts of their Patron Saints is a sign of the profound communion already existing between us, and a reflection of the fraternal bond that united the Apostles Peter and Andrew. After centuries of disagreements and misunderstanding, the resumption of genuine dialogue between the sister Churches of Rome and Constantinople was made possible through courageous and farsighted steps taken byPope Paul VIand Ecumenical Patriarch Athenagoras. Their venerable successors to the Sees of Rome and Constantinople have pursued with conviction the same path of reconciliation, thus further strengthening our close relations. Here I would like to mention the witness of sincere closeness to the Catholic Church given by the Ecumenical Patriarch, His All Holiness Bartholomew, by his personal participation in the funeral of the late Pope Francis, and again at the Mass inaugurating my Pontificate. As I think back with gratitude on the progress made thus far, I assure you of my desire to persevere in the effort to restore full visible communion between our Churches. The attainment of this goal can only come about, with God’s help, through a continued commitment to respectful listening and fraternal dialogue. For this reason, I am open to any suggestions that you may offer in this regard, always in consultation with my brother Bishops of the Catholic Church who, each in his own way, share with me the responsibility for the complete and visible unity of the Church (cf. Second Vatican Ecumenical Council, Dogmatic ConstitutionLumen Gentium, 23). Your Eminences, dear brothers in Christ, I thank you most heartily for your presence in Rome on this solemn occasion. I ask you kindly to convey my cordial greetings to Patriarch Bartholomew and the members of the Holy Synod, together with my gratitude for sending a Delegation again this year. May Saints Peter and Paul, Saint Andrew and the Holy Mother of God, who live eternally in the perfect communion of the saints, accompany and sustain us in our efforts in the service of the Gospel. Thank you! Copyright © Dicastero per la Comunicazione - Libreria Editrice Vaticana"
2025,June,To Participants in the Meeting of Priests promoted by the Dicastery for the Clergy (26 June 2025),https://www.vatican.va/content/leo-xiv/en/speeches/2025/june/documents/20250626-incontro-dicastero-clero.html,"ADDRESS OF POPE LEO XIVTO PARTICIPANTS IN THE MEETING OF PRIESTSPROMOTED BY THEDICASTERY FOR THE CLERGY Auditorium of Via della Conciliazione, RomeThursday, 26 June 2025 [Multimedia] __________ Let us begin with the Sign of the Cross, since we are all here because Christ, who died and rose again, has given us life and called us to serve. In the name of the Father, and of the Son, and of the Holy Spirit. Peace be with you! Dear brothers in the priesthood, dear brother priests,Dear formators, seminarians, vocation directors, friends in the Lord! It is a source of great joy for me to be here with you today. In the heart of this Holy Year, we want to bear witness together that we can be joyful priests because Christ has called us, and Christ has made us his friends (cf.Jn15:15). This is a grace that we want to accept with gratitude and responsibility. I would like to thank Cardinal Lazzaro and the staff of theDicastery for the Clergyfor their generous and competent service. Theirs is an extensive and important work, often carried out in silence and with discretion, which produces rich fruits of communion, formation and renewal. This occasion of fraternal sharing by priests from many nations can enable us to profit from a wealth of practical experiences and thus promote creativity, co-responsibility and communion in the Church. In this way, the seeds sown with great effort in many different communities can become a source of light and encouragement for everyone. Jesus’ words, “I have called you friends” (Jn15:15), are not just an expression of the affection he felt for his disciples, but a real key to the meaning of our priestly ministry. The priest is a friend of the Lord, called to a personal and trusting relationship with him, nourished by the word, the celebration of the sacraments, and daily prayer. Friendship with Christ is the spiritual foundation of the ordained ministry, the ultimate reason for our celibacy and the source of our daily commitment to the service of the ecclesial community. It sustains us in times of trial and enables us to renew each day the “yes” we said to the Lord at the beginning of our vocation. Based on those words of Jesus, I would like, dear friends, to draw three particular implications for the training of future priests. First,formation is a process of growth in relationship. To become friends of Christ involves training in how to relate to others, not merely the acquisition of practical skills. Priestly formation is about more than learning concepts alone; it is a journey of growth in intimacy with the Lord. It engages the entire person – heart, mind and freedom – in order to shape him in the image of the Good Shepherd. Only those who live as friends of Christ, and are imbued with his Spirit, can preach with conviction, console with compassion and lead with wisdom. This includes learning to listen patiently to others, meditative prayer, and the cultivation of a rich and rightly ordered inner life. Second,fraternity is an essential element of priestly life. Becoming friends of Christ entails living as brothers with our fellow priests and with our bishops, not as competitors or in an individualistic way. Formation should help forge solid bonds within the presbyterate as an expression of a synodal Church in which all of us grow together in sharing the labours and joys of ministry. For how could we, as ministers, be builders of living communities, unless we first experience a genuine spirit of fraternity among ourselves? Finally,forming priests who are friends of Christ means forming men, men who are capable of loving, listening, praying and serving together. That is why special attention should be given to training seminary formators, because the effectiveness of their work depends primarily on the example of life and communion that they themselves give. The fact that seminaries exist is a reminder that the formation of future ordained ministers cannot be carried out in isolation. It demands the involvement of all those friends of the Lord who live as missionary disciples in the service of the People of God. Here, I would also like to add a word about vocations. Despite the signs of a crisis in the life and mission of priests, God continues to call, and he remains faithful to his promises. Yet there need to be adequate spaces where his voice can be heard. There is a need for settings and forms of youth ministry centred on the Gospel, for this is where the call to total gift of self can emerge and mature. Do not be afraid to present young people with demanding and liberating possibilities for their future! As we look to the young men and women who even now are generously responding to the Lord’s call, may all of us feel the desire to renew our “yes,” and to rediscover the beauty of being missionary disciples of Christ the Good Shepherd. Dear friends, we are meeting on the eve of the Solemnity of the Most Sacred Heart of Jesus. It is from this “burning bush” that our vocation originates; it is from this source of grace that we want to let ourselves be transformed. Pope Francis’EncyclicalDilexit Nosis a precious gift for the whole Church, but in a special way for us priests. It directly challenges us, for it asks us to combine mysticism and social commitment, contemplation and action, silence and speaking out. The times in which we live also challenge us: many people appear to have drifted away from the faith, yet deep inside, especially in the case of the young, there continues to be a thirst for the infinite and for salvation. If there is a widespread experience of the “absence” of God, it is nonetheless true that every human being is made for him, and the Father’s plan is that Christ be the heart of the world. That is why we want to recover, together, a missionary spirit: a missionary outreach that courageously and lovingly proposes the Gospel of Jesus. Through our pastoral activity, the Lord himself cares for his flock, gathers those who are scattered, tends those who are wounded and supports those who are disheartened. When we imitate the example of the Master, we grow in faith and thus become credible witnesses of the vocation we have received. When someone believes, it shows: the joy of a priest mirrors his closeness to Christ, who sustains him in his mission and ministry. Dear brothers in the priesthood, I thank those of you who have come from far away! I thank each of you for your daily efforts, especially in centers of formation, in existential peripheries and in difficult and at times dangerous places. As we think of all those priests who gave their lives in sacrifice to others, even to the point of shedding their blood, let us now renew our desire to devote ourselves unreservedly to an apostolate of compassion and joy. Thank you for what you are! You remind everyone how good it is to be a priest, and that every call from the Lord is first and foremost a call to share in his joy. We are not perfect, but we are friends of Christ, brothers to one another and sons of his loving Mother Mary, and this is enough for us. Let us now turn to the Lord Jesus, to his merciful Heart, afire with love for every person. Let us implore the grace to be missionary disciples and shepherds as he desires: by seeking those who have gone astray, by serving the poor and by humbly guiding those entrusted to our care. May the Heart of Jesus inspire our projects, transform our hearts, and renew us in our mission. With great affection I give you my blessing and assure all of you of my prayers. * * * * * To conclude, let us take a moment to pray together. A very brief moment, but as I said before, a very important one. I want to stress the importance of the spiritual life of priests. So many times, when we need help, we need to look for a good guide, a spiritual director, a good confessor. None of us here is alone. Even if you are working in the remotest mission, you are never alone! Try to live whatPope Francisliked to call “closeness”: closeness with the Lord, closeness with your bishop or religious superior, and closeness among yourselves, because you really need to be friends and brothers. Cherish the rich experience of walking together in the knowledge that we are called to be disciples of the Lord. We have a great mission and together we can carry it out. Always count on God’s grace and my own closeness; together, we can truly be his voice in the world. Thank you! And so, let us pray together:Our Father... And to Mary our Mother:Hail Mary... [Blessing] Best wishes to you all! May God bless you always! Copyright © Dicastero per la Comunicazione - Libreria Editrice Vaticana"
